FulfuldeNigerNiamey,FulfuldeBurkinaFaso,PulaarFuutaTooro,PulaarFirduKantora,PularFuutaJalon,FulfuldeMaasina,FulfuldeAdamawa,FulfuldeGombe
mboddi,mboddi,mboddi,mboddi,mboddi,mboddi,mboodi,mboodi
ngilngu,njilngu,ngilngu,ngilngu,gilngii,njilgu,ngilngu,ngilngu
lekki,lekki,lekki,leggal,leggal,lekki,"leggal, lekki",lekki
ladde,ladde,ladde,ladde,ladde,ladde,ladde,ladde
sawru,sawru,sawru,sauru,sawru,sawru,sawru,"leggal, sawru"
wabbere,ɓimbere,abbere,abbere,foɗɗere,"awdiiri, wabere",aawdi,aawdi
hakko,kaakolol,baramlefol,haako,kaakol,haako,haako,haako
piindi,pinndi,piindi,piindi,piindi,pindi,pinndi,pinndi
huɗo,huɗo,huɗo,huɗo,geenal,huɗo,huɗo,huɗo
laac,lacc,laac,laac,bukk,lac,wicco,wicco
ɓoggol,ɓoggol,ɓoggol,ɓoggol,ɓoggol,ɓoggol,ɓoggol,ɓoggol
nguru,nguru,nguru,nguru,gurii,nguru,laral,laral
teew,tew,"teew, teewu",teew,teewu,teew,kusel,"kusel, teewu"
ƴiiƴam,ƴiiƴam,ƴiiƴam,ƴiiƴam,ƴiiƴam,ƴiiƴam,ƴiiʔam,ƴiiƴam
bellere,ɓellere,ɓellere,ɓellere,ɓellere,bellere,ɓellere,ɓellere
ngaasa,"ngaasa, cukuli",sukundu,sukundu,sukundu,"gaasa, sukundu",gaasa,gaasa
hoore,hoore,hoore,hoore,"hoore, sala",hoore,hore,hoore
nowru,nowru,nofru,nouru,nowru,nowru,nofru,nowru
"jitere, hitere",hitere,jiitere,jitere,jiitere,jitere,jiitere,jitere
honnduko,hunnduko,hunuko,hunuko,hunnduko,hunduko,hunduko,honnduko
ñiinde,ñiinde,ñiire,ñiinde,ñiire,ñiire,ñiindere,ñiindere
ɗemngal,ɗemngal,ɗemngal,ɗemngal,ɗemngal,ɗemngal,ɗemngal,ɗemngal
kojngal,kojngal,kojngal,koingal,kojngal,kojngal,kosngal,ɟaaɓirdi
howru,howru,hofru,houru,howru,howru,hofru,howru
ɟunngo,ɟunngo,ɟunngo,ɟungo,ɟunngo,ɟungo,"ɟunngo, ɟuuɗe",ɟunngo
reedu,reedu,reedu,reedu,reedu,reedu,reedu,reedu
daande,daande,daande,daande,daande,daande,daande,daande
ɓaawo,ɓaawo,keeci,keeci,ɓaawo,ɓawo,ɓaawo,ɓaawo
enndu,enndu,enndu,endu,enndu,enndu,endu,enndu
ɓernde,ɓernde,ɓernde,ɓernde,ɓernde,ɓernde,ɓernde,ɓernde
jarude,jarude,jarde,jarde,jarugol,jarude,jarugo,jaruki
ñaamude,ñaamude,ñaamde,ñaamde,ñaamugol,ñaamude,ñaamug,ñamki
ŋatde,ŋatude,ŋatde,ŋatde,ŋatugol,ngatude,ngatugo,ŋatuki
tuutude,tuutude,tuutde,tuutde,tuutugol,tuutude,tuutugo,tuutuki
fuufude,fuufude,wuttude,wuttude,wuttugol,fuufude,fuufugo,fuufuki
foofitaade,foofude,foofde,foofde,foofugol,fofude,foofugo,foofuki
ɟalude,ɟalude,ɟalde,ɟalde,ɟalugol,ɟalude,ɟalugo,ɟaluki
jiʔude,jiʔude,jiide,jiide,jiʔugol,jiʔude,laarugo,jiʔuki
nanude,nanude,nande,nande,nanugol,nanude,nanugo,nanki
anndude,anndude,andude,anndude,andugol,andude,anndugo,annduki
miiɟaade,"miɟaade, milaade",miiɟaade,miiɟaade,miiɟitagol,milaade,numugo,numuki
kulol,hulude,hulde,hulde,hulugol,hulude,hulugo,huluki
wuurude,wuurude,wuurde,wuurde,wuurugol,wuurude,wuurugo,wuuruki
warude,warude,warde,warde,warugol,warude,mbarugo,waruki
haɓude,haɓude,haɓeede,haɓde,haɓugol,haafeede,haɓugo,haɓuki
tajude,taƴude,taƴde,taƴde,taƴugol,tajude,taʔugo,taƴuki
ŋaañaade,ŋaancaade,ŋaañaade,ŋaañaade,ŋaañugol,momaade,ñaañugo,ngañcuki
wasude,wasude,asde,asde,"asugol, ɟasugol",wasude,wasugo,wasuki
fiirude,fiirude,diwde,diwde,wiirugol,fiirude,fiirugo,fiiruki
arde,warude,arde,arde,arugol,warude,warugo,waruki
